,weekday,date,month,max_temp,max_sky,min_temp,min_sky
0,Monday,22,April,14, Mainly sunny,2, Clear
1,Tuesday,23,April,14, Mainly sunny,9, Rain
2,Wednesday,24,April,10, Showers,3,30% Chance of showers
3,Thursday,25,April,13, Sunny,8,60% Chance of showers
4,Friday,26,April,13, Showers,3,60% Chance of showers
5,Saturday,27,April,12, Sunny,-,  Clear
0,Monday,22,April,14, Mainly sunny,2, Clear
1,Tuesday,23,April,14, Mainly sunny,9, Rain
2,Wednesday,24,April,10, Showers,3,30% Chance of showers
3,Thursday,25,April,13, Sunny,8,60% Chance of showers
4,Friday,26,April,13, Showers,3,60% Chance of showers
5,Saturday,27,April,12, Sunny,-,  Clear
0,Monday,22,April,14, Mainly sunny,2, Clear
1,Tuesday,23,April,14, Mainly sunny,9, Rain
2,Wednesday,24,April,10, Showers,3,30% Chance of showers
3,Thursday,25,April,13, Sunny,8,60% Chance of showers
4,Friday,26,April,13, Showers,3,60% Chance of showers
5,Saturday,27,April,12, Sunny,-,  Clear
0,Monday,22,April,14, Mainly sunny,2, Clear
1,Tuesday,23,April,14, Mainly sunny,9, Rain
2,Wednesday,24,April,10, Showers,3,30% Chance of showers
3,Thursday,25,April,13, Sunny,8,60% Chance of showers
4,Friday,26,April,13, Showers,3,60% Chance of showers
5,Saturday,27,April,12, Sunny,-,  Clear
0,Monday,22,April,14, Mainly sunny,2, Clear
1,Tuesday,23,April,14, Mainly sunny,9, Rain
2,Wednesday,24,April,10, Showers,3,30% Chance of showers
3,Thursday,25,April,13, Sunny,8,60% Chance of showers
4,Friday,26,April,13, Showers,3,60% Chance of showers
5,Saturday,27,April,12, Sunny,-,  Clear
0,Monday,22,April,14, Mainly sunny,2, Clear
1,Tuesday,23,April,14, Mainly sunny,9, Rain
2,Wednesday,24,April,10, Showers,3,30% Chance of showers
3,Thursday,25,April,13, Sunny,8,60% Chance of showers
4,Friday,26,April,13, Showers,3,60% Chance of showers
5,Saturday,27,April,12, Sunny,-,  Clear
0,Monday,22,April,14, Mainly sunny,2, Clear
1,Tuesday,23,April,14, Mainly sunny,9, Rain
2,Wednesday,24,April,10, Showers,3,30% Chance of showers
3,Thursday,25,April,13, Sunny,8,60% Chance of showers
4,Friday,26,April,13, Showers,3,60% Chance of showers
5,Saturday,27,April,12, Sunny,-,  Clear
0,Monday,22,April,14, Mainly sunny,2, Clear
1,Tuesday,23,April,14, Mainly sunny,9, Rain
2,Wednesday,24,April,10, Showers,3,30% Chance of showers
3,Thursday,25,April,13, Sunny,8,60% Chance of showers
4,Friday,26,April,13, Showers,3,60% Chance of showers
5,Saturday,27,April,12, Sunny,-,  Clear
0,Monday,22,April,14, Mainly sunny,2, Clear
1,Tuesday,23,April,14, Mainly sunny,9, Rain
2,Wednesday,24,April,10, Showers,3,30% Chance of showers
3,Thursday,25,April,13, Sunny,8,60% Chance of showers
4,Friday,26,April,13, Showers,3,60% Chance of showers
5,Saturday,27,April,12, Sunny,-,  Clear
0,Thursday,2,May,9, Periods of drizzle,7, Cloudy
1,Friday,03,May,9, Rain,5, Periods of rain
2,Saturday,04,May,1,  Sunny,4, Clear
3,Sunday,05,May,1,  Sunny,8, Clear
4,Monday,06,May,1,  A mix of sun and cloud,4, Clear
5,Tuesday,07,May,1,  Sunny,7,60% Chance of showers
0,Thursday,2,May,9, Periods of drizzle,7, Cloudy
1,Friday,03,May,9, Rain,5, Periods of rain
2,Saturday,04,May,1,  Sunny,4, Clear
3,Sunday,05,May,1,  Sunny,8, Clear
4,Monday,06,May,1,  A mix of sun and cloud,4, Clear
5,Tuesday,07,May,1,  Sunny,7,60% Chance of showers
0,Thursday,2,May,9, Periods of drizzle,7, Cloudy
1,Friday,03,May,9, Rain,5, Periods of rain
2,Saturday,04,May,1,  Sunny,4, Clear
3,Sunday,05,May,1,  Sunny,8, Clear
4,Monday,06,May,1,  A mix of sun and cloud,4, Clear
5,Tuesday,07,May,1,  Sunny,7,60% Chance of showers
0,Thursday,2,May,9, Periods of drizzle,7, Cloudy
1,Friday,03,May,9, Rain,5, Periods of rain
2,Saturday,04,May,1,  Sunny,4, Clear
3,Sunday,05,May,1,  Sunny,8, Clear
4,Monday,06,May,1,  A mix of sun and cloud,4, Clear
5,Tuesday,07,May,1,  Sunny,7,60% Chance of showers
0,Thursday,2,May,9, Periods of drizzle,7, Cloudy
1,Friday,03,May,9, Rain,5, Periods of rain
2,Saturday,04,May,1,  Sunny,4, Clear
3,Sunday,05,May,1,  Sunny,8, Clear
4,Monday,06,May,1,  A mix of sun and cloud,4, Clear
5,Tuesday,07,May,1,  Sunny,7,60% Chance of showers
0,Thursday,2,May,9, Periods of drizzle,7, Cloudy
1,Friday,03,May,9, Rain,5, Periods of rain
2,Saturday,04,May,1,  Sunny,4, Clear
3,Sunday,05,May,1,  Sunny,8, Clear
4,Monday,06,May,1,  A mix of sun and cloud,4, Clear
5,Tuesday,07,May,1,  Sunny,7,60% Chance of showers
0,Thursday,2,May,9, Periods of drizzle,7, Cloudy
1,Friday,03,May,9, Rain,5, Periods of rain
2,Saturday,04,May,1,  Sunny,4, Clear
3,Sunday,05,May,1,  Sunny,8, Clear
4,Monday,06,May,1,  A mix of sun and cloud,4, Clear
5,Tuesday,07,May,1,  Sunny,7,60% Chance of showers
